Water-Cement Ratio,Compressive Strength (N/mm²)
0.3255555556,50.63973064
0.3264444444,50.23569024
0.3264444444,50.37037037
0.3264444444,50.50505051
0.3264444444,50.90909091
0.3264444444,50.63973064
0.3264444444,50.77441077
0.3273333333,50.63973064
0.3273333333,50.50505051
0.3273333333,50.77441077
0.3273333333,50.37037037
0.3273333333,50.1010101
0.3273333333,50.23569024
0.3282222222,50.63973064
0.3282222222,49.96632997
0.3282222222,50.50505051
0.3282222222,50.1010101
0.3282222222,50.37037037
0.3282222222,50.23569024
0.3291111111,49.96632997
0.3291111111,50.1010101
0.3291111111,50.23569024
0.3291111111,50.37037037
0.3291111111,50.50505051
0.33,50.1010101
0.33,50.23569024
0.33,49.83164983
0.33,50.37037037
0.33,49.96632997
0.3308888889,50.23569024
0.3308888889,50.1010101
0.3308888889,49.6969697
0.3308888889,49.83164983
0.3308888889,49.96632997
0.3317777778,49.56228956
0.3317777778,49.6969697
0.3317777778,49.83164983
0.3317777778,49.96632997
0.3317777778,50.1010101
0.3326666667,49.96632997
0.3326666667,50.1010101
0.3326666667,49.83164983
0.3326666667,49.6969697
0.3326666667,49.42760943
0.3326666667,49.56228956
0.3335555556,49.29292929
0.3335555556,49.42760943
0.3335555556,49.83164983
0.3335555556,49.6969697
0.3335555556,49.56228956
0.3344444444,49.29292929
0.3344444444,49.15824916
0.3344444444,49.42760943
0.3344444444,49.56228956
0.3344444444,49.6969697
0.3353333333,49.56228956
0.3353333333,49.42760943
0.3353333333,49.02356902
0.3353333333,49.15824916
0.3353333333,49.29292929
0.3362222222,48.88888889
0.3362222222,49.15824916
0.3362222222,49.02356902
0.3362222222,49.29292929
0.3362222222,49.42760943
0.3371111111,49.29292929
0.3371111111,48.88888889
0.3371111111,49.02356902
0.3371111111,48.75420875
0.3371111111,49.15824916
0.338,49.15824916
0.338,48.75420875
0.338,49.02356902
0.338,48.61952862
0.338,49.29292929
0.338,48.88888889
0.3388888889,49.15824916
0.3388888889,48.48484848
0.3388888889,49.02356902
0.3388888889,48.75420875
0.3388888889,48.88888889
0.3388888889,48.61952862
0.3397777778,48.75420875
0.3397777778,48.61952862
0.3397777778,48.88888889
0.3397777778,49.02356902
0.3397777778,48.35016835
0.3397777778,48.48484848
0.3406666667,48.48484848
0.3406666667,48.61952862
0.3406666667,48.21548822
0.3406666667,48.35016835
0.3406666667,48.88888889
0.3406666667,48.75420875
0.3415555556,48.61952862
0.3415555556,48.21548822
0.3415555556,48.35016835
0.3415555556,48.75420875
0.3415555556,48.08080808
0.3415555556,48.48484848
0.3424444444,48.48484848
0.3424444444,48.35016835
0.3424444444,48.08080808
0.3424444444,48.61952862
0.3424444444,48.21548822
0.3433333333,48.48484848
0.3433333333,47.94612795
0.3433333333,48.35016835
0.3433333333,48.08080808
0.3433333333,48.21548822
0.3442222222,47.81144781
0.3442222222,47.94612795
0.3442222222,48.08080808
0.3442222222,48.21548822
0.3442222222,48.35016835
0.3451111111,48.21548822
0.3451111111,48.08080808
0.3451111111,47.67676768
0.3451111111,47.81144781
0.3451111111,47.94612795
0.346,47.54208754
0.346,47.67676768
0.346,47.81144781
0.346,48.21548822
0.346,47.94612795
0.346,48.08080808
0.3468888889,47.94612795
0.3468888889,47.40740741
0.3468888889,47.81144781
0.3468888889,47.54208754
0.3468888889,47.67676768
0.3477777778,47.40740741
0.3477777778,47.54208754
0.3477777778,47.27272727
0.3477777778,47.67676768
0.3477777778,47.81144781
0.3486666667,47.67676768
0.3486666667,47.27272727
0.3486666667,47.13804714
0.3486666667,47.40740741
0.3486666667,47.54208754
0.3495555556,47.54208754
0.3495555556,47.40740741
0.3495555556,47.003367
0.3495555556,47.27272727
0.3495555556,47.67676768
0.3495555556,47.13804714
0.3504444444,47.54208754
0.3504444444,47.003367
0.3504444444,46.86868687
0.3504444444,47.40740741
0.3504444444,47.27272727
0.3504444444,47.13804714
